"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"PI3K-Akt signaling pathway",100,1860,37,6,0.012404749016506,"GNG10;IL6RA;ITGB5;SGK1;YWHAE;PIK3CG",1
"Chemokine signaling pathway",100,1860,30,5,0.0197859148746743,"GNG10;GRK4;VAV1;PIK3CG;DOCK2",1
"Viral carcinogenesis",100,1860,25,4,0.0416394877640075,"JUN;YWHAE;GTF2H2;IL6ST",1
"B cell receptor signaling pathway",100,1860,16,3,0.0506871049618491,"JUN;RASGRP3;VAV1",1
"T cell receptor signaling pathway",100,1860,16,3,0.0506871049618491,"PTPRC;JUN;VAV1",1
"JAK-STAT signaling pathway",100,1860,18,3,0.0683710429919371,"IL10RA;IL6RA;IL6ST",1
"Th17 cell differentiation",100,1860,18,3,0.0683710429919371,"IL6RA;JUN;IL6ST",1
"Cytokine-cytokine receptor interaction",100,1860,30,4,0.0736038980389998,"IL10RA;IL6RA;TNFRSF21;IL6ST",1
"Inflammatory bowel disease (IBD)",100,1860,9,2,0.080487088075426,"JUN;MAF",1
"Focal adhesion",100,1860,31,4,0.0811586750320733,"ARHGAP5;ITGB5;JUN;VAV1",1
"Kaposi sarcoma-associated herpesvirus infection",100,1860,31,4,0.0811586750320733,"GNG10;JUN;PIK3CG;IL6ST",1
"Leukocyte transendothelial migration",100,1860,21,3,0.0993353120601761,"ARHGAP5;VAV1;SIPA1",1
"Cocaine addiction",100,1860,2,1,0.104663739899472,"JUN",1
"cAMP signaling pathway",100,1860,22,3,0.110720436959542,"JUN;VAV1;ADRB2",1
"Toll-like receptor signaling pathway",100,1860,11,2,0.114739119874811,"JUN;IRF5",1
"Phagosome",100,1860,23,3,0.122583142451802,"CORO1A;ITGB5;SEC61A1",1
"Legionellosis",100,1860,12,2,0.133033486644072,"ARF1;CLK1",1
"Human cytomegalovirus infection",100,1860,38,4,0.143792902614252,"GNG10;IL10RA;IL6RA;AKAP13",1
"Non-alcoholic fatty liver disease (NAFLD)",100,1860,13,2,0.151932625868514,"IL6RA;JUN",1
"Fc gamma R-mediated phagocytosis",100,1860,26,3,0.160696529790799,"PTPRC;VAV1;DOCK2",1
"Fc epsilon RI signaling pathway",100,1860,14,2,0.171320359515245,"VAV1;ALOX5AP",1
"Morphine addiction",100,1860,14,2,0.171320359515245,"GNG10;GRK4",1
"RNA transport",100,1860,14,2,0.171320359515245,"EIF1;EIF4A2",1
"Toxoplasmosis",100,1860,14,2,0.171320359515245,"IL10RA;PIK3CG",1
"Signaling pathways regulating pluripotency of stem cells",100,1860,15,2,0.191091032813137,"SKIL;IL6ST",1
"Th1 and Th2 cell differentiation",100,1860,15,2,0.191091032813137,"JUN;MAF",1
"Complement and coagulation cascades",100,1860,4,1,0.198471088588644,"PROS1",1
"Primary immunodeficiency",100,1860,4,1,0.198471088588644,"PTPRC",1
"Protein export",100,1860,4,1,0.198471088588644,"SEC61A1",1
"Adrenergic signaling in cardiomyocytes",100,1860,16,2,0.211148736791893,"PIK3CG;ADRB2",1
"Cholinergic synapse",100,1860,16,2,0.211148736791893,"GNG10;PIK3CG",1
"Rap1 signaling pathway",100,1860,30,3,0.216132165021727,"RASGRP3;FYB;SIPA1",1
"Transcriptional misregulation in cancer",100,1860,30,3,0.216132165021727,"DUSP6;FLI1;MAF",1
"Aldosterone-regulated sodium reabsorption",100,1860,5,1,0.241656913556928,"SGK1",1
"Neuroactive ligand-receptor interaction",100,1860,18,2,0.251786025185156,"P2RY6;ADRB2",1
"Relaxin signaling pathway",100,1860,18,2,0.251786025185156,"GNG10;JUN",1
"Spliceosome",100,1860,18,2,0.251786025185156,"SRSF5;SRSF2",1
"Ras signaling pathway",100,1860,33,3,0.260018837253697,"GNG10;RASGRP3;RASAL3",1
"Pathways in cancer",100,1860,66,5,0.279452205076383,"GNG10;IL6RA;JUN;RASGRP3;IL6ST",1
"ECM-receptor interaction",100,1860,6,1,0.282537942475692,"ITGB5",1
"IL-17 signaling pathway",100,1860,6,1,0.282537942475692,"JUN",1
"TNF signaling pathway",100,1860,6,1,0.282537942475692,"JUN",1
"MAPK signaling pathway",100,1860,35,3,0.289918241604535,"JUN;RASGRP3;DUSP6",1
"Basal transcription factors",100,1860,7,1,0.321236003830833,"GTF2H2",1
"Nucleotide excision repair",100,1860,7,1,0.321236003830833,"GTF2H2",1
"Neurotrophin signaling pathway",100,1860,22,2,0.333206688947037,"JUN;YWHAE",1
"Tight junction",100,1860,23,2,0.353266074327536,"ACTR2;JUN",1
"ABC transporters",100,1860,8,1,0.357866548686157,"ABCA9",1
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",100,1860,8,1,0.357866548686157,"ITGB5",1
"Glycosphingolipid biosynthesis",100,1860,8,1,0.357866548686157,"ST3GAL6",1
"Pertussis",100,1860,8,1,0.357866548686157,"JUN",1
"Rheumatoid arthritis",100,1860,8,1,0.357866548686157,"JUN",1
"Salivary secretion",100,1860,8,1,0.357866548686157,"ADRB2",1
"Phospholipase D signaling pathway",100,1860,24,2,0.37311848282617,"PIK3CG;ARF1",1
"Amphetamine addiction",100,1860,9,1,0.392538981262498,"JUN",1
"GABAergic synapse",100,1860,9,1,0.392538981262498,"GNG10",1
"Lysine degradation",100,1860,9,1,0.392538981262498,"PLOD1",1
"Mitophagy",100,1860,9,1,0.392538981262498,"JUN",1
"Regulation of lipolysis in adipocytes",100,1860,9,1,0.392538981262498,"ADRB2",1
"Apelin signaling pathway",100,1860,25,2,0.392728307191403,"GNG10;PIK3CG",1
"cGMP-PKG signaling pathway",100,1860,25,2,0.392728307191403,"PIK3CG;ADRB2",1
"Hypertrophic cardiomyopathy (HCM)",100,1860,10,1,0.425356972550316,"ITGB5",1
"N-Glycan biosynthesis",100,1860,10,1,0.425356972550316,"MGAT4A",1
"Endocytosis",100,1860,45,3,0.439537485828573,"GRK4;GIT2;ARF1",1
"Oxytocin signaling pathway",100,1860,28,2,0.449809314918284,"JUN;PIK3CG",1
"Acute myeloid leukemia",100,1860,11,1,0.456418757817867,"DUSP6",1
"Alcoholism",100,1860,11,1,0.456418757817867,"GNG10",1
"Circadian entrainment",100,1860,11,1,0.456418757817867,"GNG10",1
"Dilated cardiomyopathy (DCM)",100,1860,11,1,0.456418757817867,"ITGB5",1
"RNA degradation",100,1860,11,1,0.456418757817867,"BTG2",1
"Renal cell carcinoma",100,1860,11,1,0.456418757817867,"JUN",1
"Renin secretion",100,1860,11,1,0.456418757817867,"ADRB2",1
"Serotonergic synapse",100,1860,11,1,0.456418757817867,"GNG10",1
"Protein processing in endoplasmic reticulum",100,1860,29,2,0.468174498369753,"P4HB;SEC61A1",1
"Cell adhesion molecules (CAMs)",100,1860,12,1,0.485817418833666,"PTPRC",1
"Glutamatergic synapse",100,1860,12,1,0.485817418833666,"GNG10",1
"Inositol phosphate metabolism",100,1860,12,1,0.485817418833666,"PIK3CG",1
"Leishmaniasis",100,1860,12,1,0.485817418833666,"JUN",1
"Olfactory transduction",100,1860,12,1,0.485817418833666,"OLFR613",1
"Retrograde endocannabinoid signaling",100,1860,12,1,0.485817418833666,"GNG10",1
"Human immunodeficiency virus 1 infection",100,1860,31,2,0.503803998856366,"GNG10;JUN",1
"Tuberculosis",100,1860,31,2,0.503803998856366,"IL10RA;CORO1A",1
"Cell cycle",100,1860,14,1,0.539973520201186,"YWHAE",1
"Colorectal cancer",100,1860,14,1,0.539973520201186,"JUN",1
"Estrogen signaling pathway",100,1860,14,1,0.539973520201186,"JUN",1
"Glycerophospholipid metabolism",100,1860,14,1,0.539973520201186,"PLA2G15",1
"Hematopoietic cell lineage",100,1860,14,1,0.539973520201186,"IL6RA",1
"Hepatitis C",100,1860,14,1,0.539973520201186,"YWHAE",1
"ErbB signaling pathway",100,1860,15,1,0.564893697871761,"JUN",1
"GnRH signaling pathway",100,1860,15,1,0.564893697871761,"JUN",1
"Regulation of actin cytoskeleton",100,1860,35,2,0.570341419508645,"ITGB5;VAV1",1
"AMPK signaling pathway",100,1860,16,1,0.588476695277086,"RAB14",1
"Apoptosis",100,1860,16,1,0.588476695277086,"JUN",1
"Bacterial invasion of epithelial cells",100,1860,16,1,0.588476695277086,"SEPT2",1
"Breast cancer",100,1860,16,1,0.588476695277086,"JUN",1
"Measles",100,1860,16,1,0.588476695277086,"JUN",1
"Parathyroid hormone synthesis, secretion and action",100,1860,16,1,0.588476695277086,"AKAP13",1
"Salmonella infection",100,1860,16,1,0.588476695277086,"JUN",1
"AGE-RAGE signaling pathway in diabetic complications",100,1860,17,1,0.610793577311951,"JUN",1
"C-type lectin receptor signaling pathway",100,1860,17,1,0.610793577311951,"JUN",1
"Chagas disease (American trypanosomiasis)",100,1860,17,1,0.610793577311951,"JUN",1
"Choline metabolism in cancer",100,1860,17,1,0.610793577311951,"JUN",1
"Fluid shear stress and atherosclerosis",100,1860,17,1,0.610793577311951,"JUN",1
"Oocyte meiosis",100,1860,17,1,0.610793577311951,"YWHAE",1
"mTOR signaling pathway",100,1860,17,1,0.610793577311951,"SGK1",1
"Dopaminergic synapse",100,1860,18,1,0.631911668613527,"GNG10",1
"Epstein-Barr virus infection",100,1860,18,1,0.631911668613527,"JUN",1
"HIF-1 signaling pathway",100,1860,18,1,0.631911668613527,"IL6RA",1
"Natural killer cell mediated cytotoxicity",100,1860,18,1,0.631911668613527,"VAV1",1
"Hippo signaling pathway",100,1860,19,1,0.651894748493357,"YWHAE",1
"Influenza A",100,1860,19,1,0.651894748493357,"JUN",1
"NOD-like receptor signaling pathway",100,1860,19,1,0.651894748493357,"JUN",1
"Thermogenesis",100,1860,19,1,0.651894748493357,"ARID1A",1
"Platelet activation",100,1860,20,1,0.670803235810394,"PIK3CG",1
"Hepatitis B",100,1860,21,1,0.68869436429896,"JUN",1
"Osteoclast differentiation",100,1860,21,1,0.68869436429896,"JUN",1
"FoxO signaling pathway",100,1860,22,1,0.705622348839527,"SGK1",1
"Lysosome",100,1860,22,1,0.705622348839527,"PLA2G15",1
"Wnt signaling pathway",100,1860,23,1,0.721638543135527,"JUN",1
"Hepatocellular carcinoma",100,1860,24,1,0.736791589235934,"ARID1A",1
"Human T-cell leukemia virus 1 infection",100,1860,24,1,0.736791589235934,"JUN",1
"Calcium signaling pathway",100,1860,27,1,0.777520510532807,"ADRB2",1
"Proteoglycans in cancer",100,1860,29,1,0.80113951450268,"ITGB5",1
"Herpes simplex virus 1 infection",100,1860,56,2,0.815063763434542,"SRSF5;SRSF2",1
"Human papillomavirus infection",100,1860,35,1,0.858095922325282,"ITGB5",1
"Adherens junction",100,1860,14,0,1,"",1
"Adipocytokine signaling pathway",100,1860,3,0,1,"",1
"African trypanosomiasis",100,1860,3,0,1,"",1
"Alanine, aspartate and glutamate metabolism",100,1860,1,0,1,"",1
"Aldosterone synthesis and secretion",100,1860,12,0,1,"",1
"Allograft rejection",100,1860,0,0,1,"",1
"Alzheimer disease",100,1860,16,0,1,"",1
"Amino sugar and nucleotide sugar metabolism",100,1860,5,0,1,"",1
"Aminoacyl-tRNA biosynthesis",100,1860,0,0,1,"",1
"Amoebiasis",100,1860,8,0,1,"",1
"Amyotrophic lateral sclerosis (ALS)",100,1860,6,0,1,"",1
"Antigen processing and presentation",100,1860,8,0,1,"",1
"Arachidonic acid metabolism",100,1860,8,0,1,"",1
"Arginine and proline metabolism",100,1860,3,0,1,"",1
"Arginine biosynthesis",100,1860,0,0,1,"",1
"Ascorbate and aldarate metabolism",100,1860,0,0,1,"",1
"Asthma",100,1860,0,0,1,"",1
"Autoimmune thyroid disease",100,1860,0,0,1,"",1
"Autophagy",100,1860,12,0,1,"",1
"Axon guidance",100,1860,27,0,1,"",1
