"cell","group","week","sample"
"CKp25_0w_m1_C10","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C11","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C12","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C2","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C3","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C4","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C5","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C6","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C7","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C8","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_C9","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D1","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D10","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D11","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D12","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D2","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D3","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D4","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D5","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D6","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D7","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D8","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_D9","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E1","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E10","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E11","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E12","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E2","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E3","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E4","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E5","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E6","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E7","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E8","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_E9","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F1","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F10","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F11","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F12","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F2","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F3","CKp25","0","CKp25_0w_m1"
