"rank","gene","score"
290,"Cers2",186
291,"Mboat7",186
292,"Zfp871",186
293,"Pip4k2a",185
294,"Slc8a1",184
295,"Col27a1",183
296,"Csnk1e",182
297,"Mysm1",180
298,"Atxn7l3b",178
299,"A730017L22Rik",177
300,"Dido1",165
301,"Cmah",161
302,"Mcmdc2",147
