"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"Inositol phosphate metabolism",100,1860,12,1,0.485817418833666,"PIK3CG",1
"Insulin resistance",100,1860,12,1,0.485817418833666,"MLXIPL",1
"Legionellosis",100,1860,12,1,0.485817418833666,"CD14",1
"Leishmaniasis",100,1860,12,1,0.485817418833666,"NCF2",1
"Small cell lung cancer",100,1860,12,1,0.485817418833666,"BCL2L1",1
"Cytokine-cytokine receptor interaction",100,1860,30,2,0.486177522180326,"IL6RA;IL4RA",1
"Kaposi sarcoma-associated herpesvirus infection",100,1860,31,2,0.503803998856366,"PIK3CG;PREX1",1
"Tuberculosis",100,1860,31,2,0.503803998856366,"ATP6V0A2;CD14",1
"Cell cycle",100,1860,14,1,0.539973520201186,"YWHAB",1
"Hepatitis C",100,1860,14,1,0.539973520201186,"YWHAB",1
"Morphine addiction",100,1860,14,1,0.539973520201186,"GRK4",1
"Chronic myeloid leukemia",100,1860,15,1,0.564893697871761,"BCL2L1",1
"Gastric cancer",100,1860,15,1,0.564893697871761,"CSNK1A1",1
"Thyroid hormone signaling pathway",100,1860,15,1,0.564893697871761,"NOTCH2",1
"AMPK signaling pathway",100,1860,16,1,0.588476695277086,"PFKFB3",1
"Alzheimer disease",100,1860,16,1,0.588476695277086,"SDHA",1
"Bacterial invasion of epithelial cells",100,1860,16,1,0.588476695277086,"DNM2",1
"Cholinergic synapse",100,1860,16,1,0.588476695277086,"PIK3CG",1
"Measles",100,1860,16,1,0.588476695277086,"BCL2L1",1
"Parathyroid hormone synthesis, secretion and action",100,1860,16,1,0.588476695277086,"AKAP13",1
"Salmonella infection",100,1860,16,1,0.588476695277086,"CD14",1
"Chagas disease (American trypanosomiasis)",100,1860,17,1,0.610793577311951,"GNA15",1
"Fluid shear stress and atherosclerosis",100,1860,17,1,0.610793577311951,"NCF2",1
"Oocyte meiosis",100,1860,17,1,0.610793577311951,"YWHAB",1
"Pancreatic cancer",100,1860,17,1,0.610793577311951,"BCL2L1",1
"Human cytomegalovirus infection",100,1860,38,2,0.615919809862251,"AKAP13;IL6RA",1
"Neuroactive ligand-receptor interaction",100,1860,18,1,0.631911668613527,"ADRB2",1
"Relaxin signaling pathway",100,1860,18,1,0.631911668613527,"GNA15",1
"Hippo signaling pathway",100,1860,19,1,0.651894748493357,"YWHAB",1
"Thermogenesis",100,1860,19,1,0.651894748493357,"SDHA",1
"Platelet activation",100,1860,20,1,0.670803235810394,"PIK3CG",1
"Hepatitis B",100,1860,21,1,0.68869436429896,"YWHAB",1
"Leukocyte transendothelial migration",100,1860,21,1,0.68869436429896,"NCF2",1
"Osteoclast differentiation",100,1860,21,1,0.68869436429896,"NCF2",1
