"gene"
"X0610010K14Rik"
"X0610040J01Rik"
"X1110007C09Rik"
"X1110012L19Rik"
"X1110034G24Rik"
"X1110058L19Rik"
"X1190007I07Rik"
"X1200014J11Rik"
"X1600002H07Rik"
"X1700007J10Rik"
"X1700017B05Rik"
"X1700020I14Rik"
"X1700025N23Rik"
"X1700030K09Rik"
"X1700048O20Rik"
"X1700049G17Rik"
"X1700113A16Rik"
"X1700128F08Rik"
"X1810013L24Rik"
"X2010015L04Rik"
"X2010109I03Rik"
"X2210018M11Rik"
"X2310003H01Rik"
"X2310014L17Rik"
"X2310015A10Rik"
"X2310039L15Rik"
"X2310040G24Rik"
"X2310047M10Rik"
"X2410002F23Rik"
"X2410004B18Rik"
"X2410141K09Rik"
"X2500004C02Rik"
"X2610005L07Rik"
"X2610008E11Rik"
"X2610020C07Rik"
"X2610203C22Rik"
"X2700089I24Rik"
"X2810021J22Rik"
"X2810055G20Rik"
"X2900076A07Rik"
"X3000002C10Rik"
"X3110052M02Rik"
"X4632428N05Rik"
"X4833411C07Rik"
"X4833420G17Rik"
"X4833427F10Rik"
"X4930414L22Rik"
"X4930431F12Rik"
"X4930451G09Rik"
"X4930506C21Rik"
"X4930511M06Rik"
"X4930519F09Rik"
"X4930578E11Rik"
"X4930594C11Rik"
"X4931429L15Rik"
"X4932414N04Rik"
"X4933405D12Rik"
"X4933406I18Rik"
"X4933421O10Rik"
"X4933431E20Rik"
"X4933439C10Rik"
"X5031414D18Rik"
"X5031425E22Rik"
"X5430405H02Rik"
"X5430417L22Rik"
"X5530601H04Rik"
"X5730455P16Rik"
"X5830416P10Rik"
"X5830417I10Rik"
"X5830418K08Rik"
"X5830432E09Rik"
"X6030408B16Rik"
"X6030468B19Rik"
"X6820431F20Rik"
"X8030423F21Rik"
"X8030442B05Rik"
"X9130023H24Rik"
"X9330133O14Rik"
"X9430008C03Rik"
"X9530091C08Rik"
"X9630033F20Rik"
"X9930111J21Rik1"
"A130077B15Rik"
"A230073K19Rik"
"A430107P09Rik"
"A530088E08Rik"
"A630089N07Rik"
"A730098P11Rik"
"A830082N09Rik"
"AA388235"
"AI506816"
"AU023762"
"BC018507"
"BC052688"
"C030006K11Rik"
"C330024D21Rik"
"Clcn4.2"
"Cyb5"
"D830005E20Rik"
"Dux"
"E230029C05Rik"
"E330033B04Rik"
"Fert2"
"Gm10336"
"Gm10789"
"Gm10790"
"Gm13826"
"Gm17801"
"Gm20139"
"Gm20199"
"Gm2027"
"Gm20300"
"Gm20362"
"Gm20597"
"Gm20735"
"Gm2382"
"Gm3258"
"Gm3435"
"Gm5086"
"Gm5531"
"Gm6307"
"Gm6602"
"Gm8234"
"H2.DMa"
"H2.DMb1"
"Hmga2.ps1"
"Hmgb1.rs17"
"LOC101056043"
"Nkx1.2"
"Nlrp1c.ps"
"Olfr856.ps1"
"Pet112"
"Pisd.ps2"
"Pisd.ps3"
"Rpl34.ps1"
"Rplp2.ps1"
"Rps15a.ps4"
"Sox2ot"
"Thap6"
"Zfp862.ps"
