"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"PI3K-Akt signaling pathway",20,1860,37,3,0.0065461129945357,"GNG10;IL6RA;ITGB5",0.934681589241502
"Human cytomegalovirus infection",20,1860,38,3,0.00705849939477756,"GNG10;IL10RA;IL6RA",0.934681589241502
"Morphine addiction",20,1860,14,2,0.00925427316080695,"GNG10;GRK4",0.934681589241502
"JAK-STAT signaling pathway",20,1860,18,2,0.0151635541030892,"IL10RA;IL6RA",1
"Phagosome",20,1860,23,2,0.0242811467594519,"CORO1A;ITGB5",1
"Chemokine signaling pathway",20,1860,30,2,0.0399159924833117,"GNG10;GRK4",1
"Cytokine-cytokine receptor interaction",20,1860,30,2,0.0399159924833117,"IL10RA;IL6RA",1
"Focal adhesion",20,1860,31,2,0.0423966441607759,"ARHGAP5;ITGB5",1
"Tuberculosis",20,1860,31,2,0.0423966441607759,"IL10RA;CORO1A",1
"ECM-receptor interaction",20,1860,6,1,0.0628888012912934,"ITGB5",1
"ABC transporters",20,1860,8,1,0.0830032952932007,"ABCA9",1
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",20,1860,8,1,0.0830032952932007,"ITGB5",1
"GABAergic synapse",20,1860,9,1,0.0929060674822589,"GNG10",1
"Hypertrophic cardiomyopathy (HCM)",20,1860,10,1,0.102707190470025,"ITGB5",1
"Alcoholism",20,1860,11,1,0.112407653275754,"GNG10",1
"Circadian entrainment",20,1860,11,1,0.112407653275754,"GNG10",1
"Dilated cardiomyopathy (DCM)",20,1860,11,1,0.112407653275754,"ITGB5",1
"Serotonergic synapse",20,1860,11,1,0.112407653275754,"GNG10",1
"Glutamatergic synapse",20,1860,12,1,0.122008435825503,"GNG10",1
"Retrograde endocannabinoid signaling",20,1860,12,1,0.122008435825503,"GNG10",1
"Non-alcoholic fatty liver disease (NAFLD)",20,1860,13,1,0.131510509030854,"IL6RA",1
"Glycerophospholipid metabolism",20,1860,14,1,0.140914834867012,"PLA2G15",1
"Hematopoietic cell lineage",20,1860,14,1,0.140914834867012,"IL6RA",1
"Toxoplasmosis",20,1860,14,1,0.140914834867012,"IL10RA",1
"Pathways in cancer",20,1860,66,2,0.156648976853206,"GNG10;IL6RA",1
"Cholinergic synapse",20,1860,16,1,0.159434048114747,"GNG10",1
"Dopaminergic synapse",20,1860,18,1,0.177573595570285,"GNG10",1
"HIF-1 signaling pathway",20,1860,18,1,0.177573595570285,"IL6RA",1
"Relaxin signaling pathway",20,1860,18,1,0.177573595570285,"GNG10",1
"Spliceosome",20,1860,18,1,0.177573595570285,"SRSF5",1
"Th17 cell differentiation",20,1860,18,1,0.177573595570285,"IL6RA",1
