"cell","sample"
"CKp25_2w_m2_A12","CK-p25 2 weeks"
"CKp25_2w_m2_A2","CK-p25 2 weeks"
"CKp25_2w_m2_A3","CK-p25 2 weeks"
"CKp25_2w_m2_A4","CK-p25 2 weeks"
"CKp25_2w_m2_A5","CK-p25 2 weeks"
"CKp25_2w_m2_A6","CK-p25 2 weeks"
"CKp25_2w_m2_A7","CK-p25 2 weeks"
"CKp25_2w_m2_A8","CK-p25 2 weeks"
"CKp25_2w_m2_A9","CK-p25 2 weeks"
"CKp25_2w_m2_B1","CK-p25 2 weeks"
"CKp25_2w_m2_B10","CK-p25 2 weeks"
"CKp25_2w_m2_B11","CK-p25 2 weeks"
"CKp25_2w_m2_B12","CK-p25 2 weeks"
"CKp25_2w_m2_B2","CK-p25 2 weeks"
"CKp25_2w_m2_B3","CK-p25 2 weeks"
"CKp25_2w_m2_B4","CK-p25 2 weeks"
"CKp25_2w_m2_B5","CK-p25 2 weeks"
"CKp25_2w_m2_B6","CK-p25 2 weeks"
"CKp25_2w_m2_B7","CK-p25 2 weeks"
"CKp25_2w_m2_B8","CK-p25 2 weeks"
"CKp25_2w_m2_B9","CK-p25 2 weeks"
"CKp25_2w_m2_C1","CK-p25 2 weeks"
"CKp25_2w_m2_C10","CK-p25 2 weeks"
"CKp25_2w_m2_C11","CK-p25 2 weeks"
"CKp25_2w_m2_C12","CK-p25 2 weeks"
"CKp25_2w_m2_C2","CK-p25 2 weeks"
"CKp25_2w_m2_C3","CK-p25 2 weeks"
"CKp25_2w_m2_C4","CK-p25 2 weeks"
"CKp25_2w_m2_C5","CK-p25 2 weeks"
"CKp25_2w_m2_C6","CK-p25 2 weeks"
"CKp25_2w_m2_C7","CK-p25 2 weeks"
"CKp25_2w_m2_C8","CK-p25 2 weeks"
"CKp25_2w_m2_C9","CK-p25 2 weeks"
"CKp25_2w_m2_D1","CK-p25 2 weeks"
"CKp25_2w_m2_D10","CK-p25 2 weeks"
"CKp25_2w_m2_D11","CK-p25 2 weeks"
"CKp25_2w_m2_D12","CK-p25 2 weeks"
"CKp25_2w_m2_D2","CK-p25 2 weeks"
"CKp25_2w_m2_D3","CK-p25 2 weeks"
"CKp25_2w_m2_D4","CK-p25 2 weeks"
"CKp25_2w_m2_D5","CK-p25 2 weeks"
"CKp25_2w_m2_D6","CK-p25 2 weeks"
"CKp25_2w_m2_D7","CK-p25 2 weeks"
"CKp25_2w_m2_D8","CK-p25 2 weeks"
"CKp25_2w_m2_D9","CK-p25 2 weeks"
"CKp25_2w_m2_E1","CK-p25 2 weeks"
"CKp25_2w_m2_E10","CK-p25 2 weeks"
"CKp25_2w_m2_E11","CK-p25 2 weeks"
"CKp25_2w_m2_E12","CK-p25 2 weeks"
"CKp25_2w_m2_E2","CK-p25 2 weeks"
"CKp25_2w_m2_E3","CK-p25 2 weeks"
"CKp25_2w_m2_E4","CK-p25 2 weeks"
"CKp25_2w_m2_E5","CK-p25 2 weeks"
"CKp25_2w_m2_E6","CK-p25 2 weeks"
"CKp25_2w_m2_E7","CK-p25 2 weeks"
"CKp25_2w_m2_E8","CK-p25 2 weeks"
"CKp25_2w_m2_E9","CK-p25 2 weeks"
"CKp25_2w_m2_F1","CK-p25 2 weeks"
"CKp25_2w_m2_F10","CK-p25 2 weeks"
"CKp25_2w_m2_F11","CK-p25 2 weeks"
"CKp25_2w_m2_F12","CK-p25 2 weeks"
"CKp25_2w_m2_F2","CK-p25 2 weeks"
